"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"1460220_a_at";"12977";"Csf1";4,3963802187593;8,48583881912566;28,5852193810209;5,43598787088805e-08;0,000150388742496622;9,02508870996944
"2";"1437540_at";"171166";"Mcoln3";4,6510134304035;6,37467687310573;28,240827244975;5,87112014431473e-08;0,000150388742496622;8,96774389285458
"3";"1427127_x_at";"15511";"Hspa1b";3,87053830458163;6,14911255895481;22,9355539834808;2,19690150168955e-07;0,000307859037118978;7,91264452281297
"4";"1427683_at";"13654";"Egr2";3,519667895704;7,58930885319415;22,129161018976;2,75524417159196e-07;0,000307859037118978;7,71871317275732
"5";"1436329_at";"13655";"Egr3";6,01422271284731;6,31663725788535;21,0290972802047;3,80302317412643e-07;0,000307859037118978;7,4367825086246
"6";"1415960_at";"17523";"Mpo";3,23212335935888;6,1476777550219;21,0158481617873;3,81819346239766e-07;0,000307859037118978;7,43325770714083
"7";"1452388_at";"193740";"Hspa1a";3,13448851147004;6,74868601791214;20,1630215555808;4,95956620131106e-07;0,000307859037118978;7,19950687254246
"8";"1428735_at";"12515";"Cd69";3,17353681750547;5,30398607035907;19,7577278440781;5,63731966030296e-07;0,000307859037118978;7,08349245685588
"9";"1417262_at";"19225";"Ptgs2";3,48240677307857;5,2754792015568;19,5649273117703;5,99688992065422e-07;0,000307859037118978;7,02713835038934
"10";"1426278_at";"76933";"Ifi27l2a";-3,41660773950352;11,0654753996408;-19,4203866703331;6,28386573463048e-07;0,000307859037118978;6,98438583677352
"11";"1419209_at";"14825";"Cxcl1";3,39468923546208;6,66280110625088;18,5896437010975;8,27609771659126e-07;0,000307859037118978;6,72996567392837
"12";"1419764_at";"12655";"Chil3";3,13783642097553;7,33827896021985;17,5274673856224;1,19815107892072e-06;0,000349512184924048;6,38157882117433
"13";"1438148_at";"330122";"Cxcl3";3,33831846709448;4,73406381104742;17,103158791715;1,39746974668948e-06;0,000349512184924048;6,23458390152522
"14";"1434510_at";"23972";"Papss2";3,11168682910855;6,84074886418973;17,0490426952955;1,4255436592378e-06;0,000349512184924048;6,21549780168804
"15";"1433933_s_at";"101488";"Slco2b1";-3,98158831197902;6,0113305953274;-15,7519110326524;2,34055962530109e-06;0,000499611956684062;5,73360594040267
"16";"1417065_at";"13653";"Egr1";3,26771926612146;6,93818183621314;14,7476141283322;3,53205330192346e-06;0,000623955485025996;5,32539574661819
"17";"1418580_at";"67775";"Rtp4";-3,10774487853852;9,59994103322254;-12,7746313587704;8,61897845745094e-06;0,000864914406496093;4,41808027666566
"18";"1425476_at";"12830";"Col4a5";-3,03504557767349;5,29202372182751;-12,5420946520974;9,65532619993978e-06;0,000909492635419357;4,30066112328912
"19";"1453196_a_at";"23962";"Oasl2";-3,09679669131207;8,73078724998788;-12,0641300745581;1,22702211725107e-05;0,00098316355683673;4,05153487633062
"20";"1420816_at";"22628";"Ywhag";-3,11825464013682;6,74053347936192;-11,075781882848;2,0737177480623e-05;0,00115479750894394;3,50049938381109
"21";"1449366_at";"17394";"Mmp8";3,48053223621783;7,35571393597589;9,91282698614909;4,07337710869423e-05;0,00151109474884672;2,78185101474217
"22";"1416318_at";"66222";"Serpinb1a";3,13398972669679;7,25978966612391;9,74922797485635;4,50460638202178e-05;0,00158059044687284;2,67392768752148
"23";"1450783_at";"15957";"Ifit1";-3,36104873688365;6,13947122707745;-9,45373660710168;5,42337518973957e-05;0,00166374585597783;2,47436283257951
"24";"1417462_at";"12331";"Cap1";-3,01809672493536;8,44933081585752;-8,2109302507113;0,000125739241030244;0,00236824313161008;1,56338064869858
"25";"1449025_at";"15959";"Ifit3";-3,0137701640748;7,20285951340291;-6,60883848678169;0,000442627582071912;0,00449830886554543;0,185113501965231
